Code,Description,Size,Pack,Qty,Price,Image,main_category,sub_category
PVC-SANTEE,SANITARY TEE (ALL HUB),2,35,0,1.4,images/SanTee.png,Plumbing,Fittings
PVC-SANTEE,SANITARY TEE (ALL HUB),3,15,105,3.5,images/SanTee.png,Plumbing,Fittings
PVC-SANTEE,SANITARY TEE (ALL HUB),4,5,100,8.6,images/SanTee.png,Plumbing,Fittings
PVC-SANTEE,SANITARY TEE (ALL HUB),1-1/2,60,120,1,images/SanTee.png,Plumbing,Fittings
PVC-SANTEEDBL,"DOUBLE SANITARY TEE, REDUCING(ALL HUB)",2x2x1-1/2x1-1/2,25,100,,images/DoubleSanTee.png,Plumbing,Fittings
PVC-SANTEERED,REDUCING SANITARY TEE(ALL HUB) ,2x1-1/2x1-1/2,60,600,,images/RedSanTee.png,Plumbing,Fittings
PVC-SANTEERED,REDUCING SANITARY TEE(ALL HUB) ,2x1-1/2x2,60,600,,images/RedSanTee.png,Plumbing,Fittings
PVC-SANTEERED,REDUCING SANITARY TEE(ALL HUB) ,2x2x1-1/2,50,600,,images/RedSanTee.png,Plumbing,Fittings
PVC-SANTEERED,REDUCING SANITARY TEE (ALL HUB),3x3x2,15,345,3.4,images/RedSanTee.png,Plumbing,Fittings
PVC-SANTEERED,REDUCING SANITARY TEE(ALL HUB) ,4x4x3,10,20,,images/RedSanTee.png,Plumbing,Fittings
PVC-WYEDBL,REDUCING DOUBLE WYE(ALL HUB),3x3x2x2,15,75,,images/RedDoubleWye.png,Plumbing,Fittings
PVC-WYEHUB,WYE (ALL HUB),2,25,450,1.7,images/RedWye.png,Plumbing,Fittings
PVC-WYEHUB,WYE (ALL HUB),3,15,0,4.5,images/RedWye.png,Plumbing,Fittings
PVC-WYEHUB,WYE (ALL HUB),4,8,104,7.9,images/RedWye.png,Plumbing,Fittings
PVC-WYEHUB,WYE (ALL HUB),1-1/2,50,100,1.1,images/RedWye.png,Plumbing,Fittings
PVC-WYERED, REDUCING WYE(ALL HUB),3x3x2,12,240,,images/RedWye.png,Plumbing,Fittings
PVC-WYERED, REDUCING WYE(ALL HUB),4x4x2,10,20,,images/RedWye.png,Plumbing,Fittings
PVC-WYERED, REDUCING WYE(ALL HUB),4x4x3,10,40,,images/RedWye.png,Plumbing,Fittings
PIPE-FOAM,ASTM F891 PVC Foam Core DWV Pipe,2,20,,9.8,images/Sch40Foam.png,Plumbing,Pipes
PIPE-FOAM,ASTM F891 PVC Foam Core DWV Pipe,3,20,,18.6,images/Sch40Foam.png,Plumbing,Pipes
PIPE-FOAM,ASTM F891 PVC Foam Core DWV Pipe,4,20,,27.6,images/Sch40Foam.png,Plumbing,Pipes
PIPE-FOAM,ASTM F891 PVC Foam Core DWV Pipe,1-1/2,20,,7.7,images/Sch40Foam.png,Plumbing,Pipes
PIPE-SOLID,ASTM D1785 SCH40 PVC,2,20,2806,16.2,images/Sch40Solid.png,Plumbing,Pipes
PIPE-SOLID,ASTM D1785 SCH40 PVC,3,20,2806,30,images/Sch40Solid.png,Plumbing,Pipes
PIPE-SOLID,ASTM D1785 SCH40 PVC,4,20,2800,54.8,images/Sch40Solid.png,Plumbing,Pipes
